structure,force,seed,status,steps,frames,r_mean_over_R,r_sd_over_R,Rg_mean_over_R,Gzz_mean,Gperp_mean,stretch_mean,clearance_min_over_R,clearance_p01_over_R
n1,0.005,101,done,4000001,2001,0.3808041081957804,0.07233584946689672,0.07666487650764164,3.634115798323208,1.9987732617555602,1.8181731104063776,0.3994231080762506,0.4227811327877861
n1,0.005,102,done,4000001,2001,0.24802572785583443,0.07779242367328307,0.0756747098977414,3.281874848213393,2.0771665447263095,1.5799767508030116,0.5255385043547945,0.5511949951486245
n1,0.005,103,done,4000001,2001,0.26103944317624617,0.05637850056572202,0.07545896948483388,3.1851606952611564,2.105510528982477,1.5127735774375055,0.5305550716693515,0.5560620284541099
n1,0.005,104,done,4000001,2001,0.3251295210875249,0.07109192859371732,0.07598870135085824,3.515059157587746,1.9927222995342968,1.7639483225581518,0.46856979925462067,0.4875396621762334
n1,0.005,105,done,4000001,2001,0.35177375491408935,0.050227241709053856,0.07652006969657991,3.58271878419554,2.0112067794694615,1.7813776389221547,0.4511080163090155,0.4740396105166355
n1,0.01,101,done,4000001,2001,0.29155075845324213,0.05531229162337918,0.07875616695337889,4.294783071789496,1.8800878676360195,2.2843523144424416,0.5240772433155269,0.5508977739872731
n1,0.01,102,done,4000001,2001,0.16733276434478553,0.0706498523910087,0.07601986929416926,3.4795194992297924,2.0131181070288475,1.7284229311141612,0.5866765106904239,0.6079219608054129
n1,0.01,103,done,4000001,2001,0.1830196324444473,0.04240700716419399,0.07649605728077286,3.5797610981373182,2.0095041301308645,1.7814151483750342,0.5663499544221653,0.5919361173115752
n1,0.01,104,done,4000001,2001,0.24721260189938446,0.0601445976946629,0.0778434786533308,4.041773349760208,1.9144819866630067,2.111157680206293,0.5460413868243313,0.5775040667475038
n1,0.01,105,done,4000001,2001,0.19264525277138964,0.050998407430819924,0.07639538151144709,3.6692059899431095,1.9557597178397457,1.8761026502764708,0.5626458149366401,0.594752466717472
n1,0.0,101,done,4000001,2001,0.2735659057667627,0.052712951058126095,0.07312065667306372,2.4438408234117333,2.2484229499862205,1.086913306692013,0.5134647550419813,0.5573751932758161
n1,0.0,102,done,4000001,2001,0.2674440850247148,0.09668784168017852,0.07290735355997721,2.39442344609563,2.2526789467880244,1.0629226368496547,0.464963596396571,0.4890061163287361
n1,0.0,103,done,4000001,2001,0.4784010362917434,0.07972020049303383,0.07285305249770219,2.1966369360278812,2.346191146905136,0.9362565956850821,0.26838383961775186,0.29799623989439944
n1,0.0,104,done,4000001,2001,0.6099317052013431,0.1218156187618678,0.07277004279056559,2.2342367419552778,2.319479044406703,0.9632493759074985,0.049649431809378086,0.06618665608114267
n1,0.0,105,done,4000001,2001,0.14636632271764582,0.05772482769717757,0.07289328258165942,2.3773186581339907,2.2600144375796742,1.0519041907891267,0.6357808943163437,0.6579985583863481
n2,0.001,101,done,4000001,2001,0.3910707144029605,0.07322696650462227,0.12002209481319975,6.963892524237203,5.856707548640156,1.1890456312530273,0.332058021794112,0.3519730805973363
n2,0.001,102,done,4000001,2001,0.34423358467698795,0.11510310294769867,0.11990077504707942,6.839960839282455,5.89965716758927,1.15938276496114,0.3219887818864925,0.3469649451108625
n2,0.001,103,done,4000001,2001,0.0919233409530179,0.06596245405170688,0.11910500096860827,6.144712365337725,6.123154041178299,1.0035207874919436,0.605403991728491,0.6357432134775282
n2,0.001,104,done,4000001,2001,0.12879308094606456,0.04217896664794138,0.11900262360401714,6.200819899579148,6.07949623285138,1.0199562039486396,0.613941906415506,0.6349362189078361
n2,0.001,105,done,4000001,2001,0.5189895059258379,0.06506640068724111,0.12087297554070135,7.430801627258487,5.755610020396765,1.2910537025484992,0.21443943720353578,0.23336993253291866
n2,0.003,101,done,4000001,2001,0.3485384675172837,0.04618742174422755,0.12354846936971314,8.76039787546446,5.516096404571674,1.5881516987636306,0.42546705335158347,0.44291501040218706
n2,0.003,102,done,4000001,2001,0.20245465197820472,0.08982005859516776,0.12154021051742096,7.623349030809167,5.766566306962423,1.321991047186071,0.4470851338017234,0.4767052797372338
n2,0.003,103,done,4000001,2001,0.2937366815842545,0.03581106786636506,0.12226935760357935,8.340540623564895,5.522800768880577,1.5102012498009136,0.48442671086319966,0.4965335648675716
n2,0.003,104,done,4000001,2001,0.32262563144664,0.04807664491256843,0.12333505454810487,8.59421005309844,5.564911212547356,1.5443570840305307,0.41587824707623433,0.4520380467310404
